id,channel_acq,num_past_purch,spent_last_purchase,weeks_since_visit,browsing_minutes,shopping_cart
Next_1,google,0,0,0,16,1
Next_2,instagram,0,0,2,19,0
Next_3,referral,5,63.990002,1,14,0
Next_4,google,0,0,7,15,0
Next_5,facebook,2,52.490002,2,19,0
Next_6,instagram,1,54.490002,6,11,0
Next_7,instagram,1,59.990002,6,4,0
Next_8,instagram,5,77.989998,7,15,1
Next_9,google,1,74.489998,1,25,0
Next_10,instagram,2,78.489998,2,26,0
Next_11,instagram,0,0,2,5,1
Next_12,google,3,61.490002,5,18,1
Next_13,facebook,3,38.990002,4,18,0
Next_14,facebook,10,63.990002,0,21,1
Next_15,instagram,1,202.47,4,13,0
Next_16,google,0,0,7,15,1
Next_17,other,2,103.98,6,12,0
Next_18,facebook,1,68.489998,3,11,1
Next_19,google,1,60.490002,3,17,0
Next_20,instagram,0,0,4,15,0
Next_21,facebook,0,0,4,9,1
Next_22,instagram,7,41.990002,5,16,0
Next_23,instagram,2,101.98,0,17,0
Next_24,instagram,0,0,0,6,0
Next_25,google,0,0,0,13,0
Next_26,instagram,0,0,1,11,0
Next_27,google,0,0,3,21,1
Next_28,google,3,157.47,6,17,1
Next_29,google,0,0,5,14,0
Next_30,instagram,0,0,4,16,0
Next_31,google,5,63.990002,5,4,0
Next_32,google,2,178.47,0,16,0
Next_33,facebook,0,0,6,18,0
Next_34,google,0,0,1,22,1
Next_35,instagram,13,57.990002,3,23,0
Next_36,referral,0,0,2,13,1
Next_37,google,0,0,3,18,1
Next_38,google,6,54.990002,1,13,1
Next_39,instagram,0,0,5,4,0
Next_40,google,3,189.96001,2,12,0
Next_41,instagram,0,0,7,15,0
Next_42,google,2,75.989998,3,4,0
Next_43,referral,1,56.490002,5,20,0
Next_44,google,1,46.990002,1,20,0
Next_45,facebook,0,0,0,18,0
Next_46,instagram,0,0,6,5,1
Next_47,facebook,2,134.98,7,13,0
Next_48,google,3,73.489998,2,21,0
Next_49,google,1,99.980003,1,2,0
Next_50,instagram,0,0,4,14,0
Next_51,google,8,55.990002,7,17,1
Next_52,instagram,7,58.990002,4,19,0
Next_53,google,0,0,1,22,0
Next_54,instagram,12,170.97,2,14,1
Next_55,google,0,0,7,9,1
Next_56,google,1,56.990002,0,3,0
Next_57,instagram,7,69.989998,0,15,0
Next_58,google,0,0,5,14,1
Next_59,facebook,0,0,0,21,1
Next_60,facebook,0,0,0,3,0
Next_61,instagram,0,0,2,15,0
Next_62,google,2,68.989998,6,18,0
Next_63,google,1,55.490002,5,19,0
Next_64,google,1,127.98,6,11,1
Next_65,facebook,2,161.97,2,18,0
Next_66,google,0,0,6,15,0
Next_67,facebook,0,0,4,2,0
Next_68,instagram,0,0,5,7,1
Next_69,referral,0,0,5,24,0
Next_70,google,4,173.97,6,18,1
Next_71,google,0,0,1,20,0
Next_72,referral,1,141.98,6,9,1
Next_73,facebook,0,0,5,5,0
Next_74,google,0,0,2,6,0
Next_75,facebook,6,218.97,4,20,0
Next_76,facebook,0,0,1,13,0
Next_77,referral,0,0,3,26,1
Next_78,facebook,4,57.990002,7,8,0
Next_79,google,2,51.990002,0,4,1
Next_80,google,0,0,3,1,0
Next_81,facebook,2,67.489998,0,17,0
Next_82,google,2,59.490002,0,14,1
Next_83,google,0,0,0,16,0
Next_84,google,4,62.990002,0,7,0
Next_85,referral,1,83.989998,5,20,1
Next_86,google,0,0,6,1,0
Next_87,google,4,154.98,2,15,0
Next_88,instagram,1,68.989998,5,10,0
Next_89,instagram,0,0,5,19,0
Next_90,instagram,2,52.990002,0,14,0
