business_id,instructed_lawyer_id,transaction_id,relevant_price,commission_rate,transaction_type,created_at,instructed_at,notified_at,number_of_quotes,legal_area,international_lawyer,enterprise,cost_of_acquisition,cost_of_service
3355,19,12,"£1,075.83",0.15,first,2014/07/07,2014/08/04,2014/08/04,1,Financial Services,0,0,£132.33,£24.74
6443,43,491,"£3,765.41",0.15,back-to-lawyer,2014/08/07,2014/09/15,2015/08/18,0,Corporate Law,0,0,£132.33,£0.00
6443,43,489,"£3,227.49",0.15,back-to-lawyer,2014/08/07,2014/09/15,2015/08/18,0,Corporate Law,0,0,£132.33,£0.00
6443,43,490,£935.97,0.15,back-to-lawyer,2014/08/07,2014/09/15,2015/08/18,0,Corporate Law,0,0,£132.33,£0.00
6443,43,818,"£3,227.49",0.15,back-to-lawyer,2014/08/07,2014/09/15,2015/12/14,0,Corporate Law,0,0,£132.33,£0.00
6443,43,819,£935.97,0.15,back-to-lawyer,2014/08/07,2014/09/15,2015/12/14,0,Corporate Law,0,0,£132.33,£0.00
6443,43,820,£290.47,0.15,back-to-lawyer,2014/08/07,2014/09/15,2015/12/14,0,Corporate Law,0,0,£132.33,£0.00
6443,43,85,"£8,929.39",0.15,back-to-lawyer,2014/08/07,2014/09/15,2015/01/19,0,Corporate Law,0,0,£132.33,£0.00
6443,43,682,£376.54,0.15,back-to-lawyer,2014/08/07,2014/09/15,2015/10/21,0,Corporate Law,0,0,£132.33,£0.00
6443,43,86,£753.08,0.15,back-to-lawyer,2014/08/07,2014/09/15,2015/01/19,0,Corporate Law,0,0,£132.33,£0.00
6443,43,17,"£3,765.41",0.15,first,2014/08/07,2014/09/15,2014/09/15,0,Corporate Law,0,0,£132.33,£24.74
6443,43,148,"£1,828.91",0.15,back-to-lawyer,2014/08/07,2014/09/15,2015/03/10,0,Corporate Law,0,0,£132.33,£0.00
6443,43,1365,"£3,227.49",0.15,back-to-lawyer,2014/08/07,2014/09/15,2016/05/24,0,Corporate Law,0,0,£132.33,£0.00
2433,4,88,"£1,183.41",0.15,first,2014/08/25,2015/01/19,2015/01/19,1,Corporate Law,0,0,£132.33,£24.74
2577,33,8,£161.37,0.15,first,2014/09/03,2014/09/15,2014/09/15,1,Intellectual Property,0,0,£132.33,£24.74
2353,33,183,£268.96,0.15,first,2014/09/08,2015/03/31,2015/03/31,1,IT & E-commerce,0,0,£132.33,£24.74
2353,33,258,£806.87,0.15,back-to-lawyer,2014/09/08,2015/03/31,2015/05/21,1,IT & E-commerce,0,0,£132.33,£0.00
6239,33,49,£215.17,0.15,first,2014/09/16,2014/11/28,2014/11/28,1,IT & E-commerce,0,0,£132.33,£24.74
6279,43,22,"£4,410.90",0.15,first,2014/09/22,2014/10/13,2014/10/13,1,IT & E-commerce,0,0,£132.33,£24.74
6279,43,149,"£1,291.00",0.15,back-to-lawyer,2014/09/22,2014/10/13,2015/03/10,1,IT & E-commerce,0,0,£132.33,£0.00
