business_id,instructed_lawyer_id,transaction_id,relevant_price,commission_rate,transaction_type,created_at,instructed_at,notified_at,number_of_quotes,legal_area,international_lawyer,enterprise,cost_of_acquisition,cost_of_service
3355,19,12,1075.830446,0.15,first,2014/07/07,2014/08/04,2014/08/04,1,Financial Services,0,0,132.3271449,24.74410027
6443,43,491,3765.406563,0.15,back-to-lawyer,2014/08/07,2014/09/15,2015/08/18,0,Corporate Law,0,0,132.3271449,0
6443,43,489,3227.491339,0.15,back-to-lawyer,2014/08/07,2014/09/15,2015/08/18,0,Corporate Law,0,0,132.3271449,0
6443,43,490,935.9724885,0.15,back-to-lawyer,2014/08/07,2014/09/15,2015/08/18,0,Corporate Law,0,0,132.3271449,0
6443,43,818,3227.491339,0.15,back-to-lawyer,2014/08/07,2014/09/15,2015/12/14,0,Corporate Law,0,0,132.3271449,0
6443,43,819,935.9724885,0.15,back-to-lawyer,2014/08/07,2014/09/15,2015/12/14,0,Corporate Law,0,0,132.3271449,0
6443,43,820,290.4742206,0.15,back-to-lawyer,2014/08/07,2014/09/15,2015/12/14,0,Corporate Law,0,0,132.3271449,0
6443,43,85,8929.392706,0.15,back-to-lawyer,2014/08/07,2014/09/15,2015/01/19,0,Corporate Law,0,0,132.3271449,0
6443,43,682,376.5406563,0.15,back-to-lawyer,2014/08/07,2014/09/15,2015/10/21,0,Corporate Law,0,0,132.3271449,0
6443,43,86,753.0813125,0.15,back-to-lawyer,2014/08/07,2014/09/15,2015/01/19,0,Corporate Law,0,0,132.3271449,0
6443,43,17,3765.406563,0.15,first,2014/08/07,2014/09/15,2014/09/15,0,Corporate Law,0,0,132.3271449,24.74410027
6443,43,148,1828.911759,0.15,back-to-lawyer,2014/08/07,2014/09/15,2015/03/10,0,Corporate Law,0,0,132.3271449,0
6443,43,1365,3227.491339,0.15,back-to-lawyer,2014/08/07,2014/09/15,2016/05/24,0,Corporate Law,0,0,132.3271449,0
2433,4,88,1183.413491,0.15,first,2014/08/25,2015/01/19,2015/01/19,1,Corporate Law,0,0,132.3271449,24.74410027
2577,33,8,161.374567,0.15,first,2014/09/03,2014/09/15,2014/09/15,1,Intellectual Property,0,0,132.3271449,24.74410027
2353,33,183,268.9576116,0.15,first,2014/09/08,2015/03/31,2015/03/31,1,IT & E-commerce,0,0,132.3271449,24.74410027
2353,33,258,806.8728349,0.15,back-to-lawyer,2014/09/08,2015/03/31,2015/05/21,1,IT & E-commerce,0,0,132.3271449,0
6239,33,49,215.1660893,0.15,first,2014/09/16,2014/11/28,2014/11/28,1,IT & E-commerce,0,0,132.3271449,24.74410027
6279,43,22,4410.904831,0.15,first,2014/09/22,2014/10/13,2014/10/13,1,IT & E-commerce,0,0,132.3271449,24.74410027
6279,43,149,1290.996536,0.15,back-to-lawyer,2014/09/22,2014/10/13,2015/03/10,1,IT & E-commerce,0,0,132.3271449,0
6279,43,87,699.2897902,0.15,back-to-lawyer,2014/09/22,2014/10/13,2015/01/19,1,IT & E-commerce,0,0,132.3271449,0
6279,43,273,537.9152232,0.15,back-to-lawyer,2014/09/22,2014/10/13,2015/05/29,1,IT & E-commerce,0,0,132.3271449,0
6279,43,492,1557.802487,0.15,back-to-lawyer,2014/09/22,2014/10/13,2015/08/18,1,IT & E-commerce,0,0,132.3271449,0
6279,43,1406,2037.622866,0.15,back-to-lawyer,2014/09/22,2014/10/13,2016/05/31,1,IT & E-commerce,0,0,132.3271449,0
