player_id,score_2012,score_2013,score_2014,score_2015,pre-2015,improvement,is_TSG
A01,7.77,7.837,7.845,7.97,7.817333333,0.152666667,0
A02,7.06,7.127,7.145,7.25,7.110666667,0.139333333,0
A03,7.1,7.157,7.145,7.28,7.134,0.146,0
A04,7.21,7.237,7.245,7.36,7.230666667,0.129333333,0
A05,6.42,6.497,6.485,6.6,6.467333333,0.132666667,0
A06,8.18,8.257,8.235,8.35,8.224,0.126,0
A07,7.58,7.647,7.645,7.75,7.624,0.126,0
A08,7.18,7.277,7.265,7.39,7.240666667,0.149333333,0
A09,8.15,8.237,8.235,8.34,8.207333333,0.132666667,0
A10,6.84,6.927,6.925,7.04,6.897333333,0.142666667,0
A11,7.44,7.497,7.485,7.62,7.474,0.146,0
A12,7.38,7.447,7.465,7.57,7.430666667,0.139333333,0
A13,7.58,7.637,7.665,7.77,7.627333333,0.142666667,0
A14,7.58,7.677,7.645,7.77,7.634,0.136,0
A15,7.17,7.247,7.215,7.35,7.210666667,0.139333333,0
A16,7.45,7.527,7.515,7.64,7.497333333,0.142666667,0
A17,7.42,7.467,7.475,7.58,7.454,0.126,0
A18,7.7,7.747,7.765,7.87,7.737333333,0.132666667,0
A19,8.08,8.137,8.125,8.25,8.114,0.136,0
A20,8.06,8.147,8.135,8.23,8.114,0.116,0
A21,7.14,7.217,7.235,7.34,7.197333333,0.142666667,0
A22,7.49,7.537,7.555,7.66,7.527333333,0.132666667,0
A23,7.05,7.087,7.095,7.23,7.077333333,0.152666667,0
T01,7.65,7.75,7.77,8.28,7.723333333,0.556666667,1
T02,8.05,8.12,8.18,8.25,8.116666667,0.133333333,1
T03,6.67,6.74,6.78,7.31,6.73,0.58,1
T04,7.79,7.83,7.89,8.4,7.836666667,0.563333333,1
T05,7.6,7.64,7.71,8.21,7.65,0.56,1
T06,7.01,7.06,7.14,7.63,7.07,0.56,1
T07,7.3,7.39,7.42,7.95,7.37,0.58,1
T08,7.58,7.65,7.72,8.24,7.65,0.59,1
T09,8.66,8.74,8.8,8.86,8.733333333,0.126666667,1
T10,8.41,8.42,8.5,8.58,8.443333333,0.136666667,1
T11,6.98,7.05,7.11,7.62,7.046666667,0.573333333,1
T12,8.49,8.53,8.6,8.67,8.54,0.13,1
T13,7.73,7.77,7.85,8.36,7.783333333,0.576666667,1
T14,7.46,7.51,7.57,8.08,7.513333333,0.566666667,1
T15,7.72,7.79,7.84,8.35,7.783333333,0.566666667,1
T16,7.38,7.46,7.53,8.03,7.456666667,0.573333333,1
T17,7.41,7.47,7.56,8.08,7.48,0.6,1
T18,7.93,8,8.05,8.1,7.993333333,0.106666667,1
T19,7.9,7.96,8.02,8.12,7.96,0.16,1
T20,7.9,7.96,8.03,8.1,7.963333333,0.136666667,1
T21,7.72,7.77,7.83,8.34,7.773333333,0.566666667,1
T22,7.04,7.1,7.15,7.66,7.096666667,0.563333333,1
T23,7.73,7.77,7.85,8.34,7.783333333,0.556666667,1
