client_id,year_month,service_type,telepass_pay,number_transactions,expenditures
20785,May-20,PARCHEGGI/TRAGHETTI,0,1,2
20785,Sep-19,PARCHEGGI/TRAGHETTI,0,1,2
34153,Feb-20,PARCHEGGI/TRAGHETTI,0,1,3.75
21141,Jan-20,PARCHEGGI/TRAGHETTI,0,1,3.5
21141,Feb-20,PARCHEGGI/TRAGHETTI,0,1,7
21141,Oct-19,PARCHEGGI/TRAGHETTI,0,1,2.8
12199,Feb-20,FUEL CON APP,1,5,15
12199,Mar-20,FUEL CON APP,1,8,30.01
12199,Jun-20,FUEL CON APP,1,1,3.5
12199,Jun-20,TURBO RICARICA CARTA,1,3,100
22347,May-20,ASSICURAZIONE INFORTUNI,0,1,0
11539,Jan-20,PARCHEGGIO STRISCE BLU,1,4,12.85502144
11539,Mar-20,PARCHEGGIO STRISCE BLU,1,3,4.671857993
11539,Jun-19,PARCHEGGIO STRISCE BLU,1,3,15.82655762
11539,Jun-20,PARCHEGGIO STRISCE BLU,1,4,23.32333048
11539,Jul-19,PARCHEGGIO STRISCE BLU,1,5,25.89103578
11539,Aug-19,PARCHEGGIO STRISCE BLU,1,5,10.31554414
11539,Sep-19,PARCHEGGIO STRISCE BLU,1,2,13.09836101
11539,Oct-19,PARCHEGGIO STRISCE BLU,1,1,9.594154995
11539,Feb-20,FUEL CON APP,1,5,71.68968858
11539,Mar-20,FUEL CON APP,1,6,117.1181455
11539,Apr-20,FUEL CON APP,1,2,42.57814085
11539,Jun-19,FUEL CON APP,1,2,101.8732643
11539,Jun-20,FUEL CON APP,1,6,212.564343
11539,Jul-19,FUEL CON APP,1,6,156.9263236
11539,Aug-19,FUEL CON APP,1,6,212.0591523
11539,Sep-19,FUEL CON APP,1,4,83.24748229
11539,Oct-19,FUEL CON APP,1,1,73.8406076
11539,Dec-19,FUEL CON APP,1,6,81.2429777
11539,Dec-19,BOLLO AUTO,1,1,153.0093787
11539,Jun-19,TRENI,1,3,27.69157672
8212,Jun-19,PARCHEGGI/TRAGHETTI,0,1,4.3
35794,Jun-20,PARCHEGGIO STRISCE BLU,1,3,10.08
35794,Jul-19,PARCHEGGIO STRISCE BLU,1,3,9.33
35794,Sep-19,PARCHEGGIO STRISCE BLU,1,3,3.99
35794,Oct-19,PARCHEGGIO STRISCE BLU,1,1,0.75
25483,Sep-19,PARCHEGGI/TRAGHETTI,0,1,2
5582,Oct-19,PARCHEGGI/TRAGHETTI,0,2,0
31955,Sep-19,TURBO RICARICA CARTA,1,1,100
31955,Nov-19,TURBO RICARICA CARTA,1,2,150
13722,Jan-20,PARCHEGGIO STRISCE BLU,1,6,2.14
13722,Feb-20,PARCHEGGIO STRISCE BLU,1,16,10.24
13722,Mar-20,PARCHEGGIO STRISCE BLU,1,9,7.13
13722,Apr-20,PARCHEGGIO STRISCE BLU,1,11,7.13
13722,May-20,PARCHEGGIO STRISCE BLU,1,8,8.45
13722,Jun-20,PARCHEGGIO STRISCE BLU,1,7,5.83
13722,Jul-19,PARCHEGGIO STRISCE BLU,1,4,0.9
13722,Aug-19,PARCHEGGIO STRISCE BLU,1,6,2.09
13722,Sep-19,PARCHEGGIO STRISCE BLU,1,4,2.28
13722,Oct-19,PARCHEGGIO STRISCE BLU,1,3,0.81
13722,Nov-19,PARCHEGGIO STRISCE BLU,1,1,1.71
13722,Dec-19,PARCHEGGIO STRISCE BLU,1,7,3.27
13722,Jan-20,FUEL CON APP,1,7,200
13722,Feb-20,FUEL CON APP,1,9,250
13722,Mar-20,FUEL CON APP,1,11,270
13722,Apr-20,FUEL CON APP,1,9,250
13722,May-20,FUEL CON APP,1,9,260
13722,Jun-19,FUEL CON APP,1,7,228.02
13722,Jun-20,FUEL CON APP,1,13,350
13722,Jul-19,FUEL CON APP,1,9,310.07
13722,Aug-19,FUEL CON APP,1,6,240
13722,Sep-19,FUEL CON APP,1,9,291.52
13722,Oct-19,FUEL CON APP,1,9,290
13722,Nov-19,FUEL CON APP,1,8,220
13722,Dec-19,FUEL CON APP,1,7,260
10716,May-20,ACCESSO AREA C MILANO,0,4,14.17372199
30746,Jul-19,PARCHEGGI/TRAGHETTI,0,1,10.03423011
30746,Aug-19,PARCHEGGI/TRAGHETTI,0,4,16.81673243
30746,Apr-20,ACCESSO AREA C MILANO,0,3,9.443592806
30746,Jul-19,PARCHEGGIO STRISCE BLU,1,5,1.496980716
30746,Aug-19,PARCHEGGIO STRISCE BLU,1,6,9.707559813
30746,Sep-19,PARCHEGGIO STRISCE BLU,1,1,7.184908178
30746,Apr-20,BOLLO AUTO,1,3,329.6480878
15338,Jan-20,PARCHEGGI/TRAGHETTI,0,1,4
15776,Jun-19,PARCHEGGI/TRAGHETTI,0,3,12.04599412
15776,Dec-19,PARCHEGGI/TRAGHETTI,0,1,8.506804109
24117,Jan-20,FUEL CON APP,1,1,25.14
24117,May-20,FUEL CON APP,1,1,15
24117,Jun-19,FUEL CON APP,1,2,50.01
24117,Jul-19,FUEL CON APP,1,2,35
24117,Aug-19,FUEL CON APP,1,1,15.07
24117,Sep-19,FUEL CON APP,1,1,20.04
24117,Oct-19,FUEL CON APP,1,2,46.13
24117,Nov-19,FUEL CON APP,1,2,30.07
24117,Dec-19,FUEL CON APP,1,1,20.02
23371,Feb-20,PARCHEGGI/TRAGHETTI,0,3,12.62444127
8984,Jan-20,PARCHEGGI/TRAGHETTI,0,1,77.3
8984,Feb-20,PARCHEGGI/TRAGHETTI,0,1,3.5
8984,Apr-20,PARCHEGGI/TRAGHETTI,0,1,42.6
8984,May-20,PARCHEGGI/TRAGHETTI,0,1,27.9
8984,Jun-19,PARCHEGGI/TRAGHETTI,0,1,32.5
8984,Jul-19,PARCHEGGI/TRAGHETTI,0,1,34.9
8984,Aug-19,PARCHEGGI/TRAGHETTI,0,1,3.5
8984,Sep-19,PARCHEGGI/TRAGHETTI,0,1,25.7
8984,Oct-19,PARCHEGGI/TRAGHETTI,0,1,25.7
8984,Nov-19,PARCHEGGI/TRAGHETTI,0,2,24.7
8984,Feb-20,PARCHEGGIO STRISCE BLU,1,1,0.46
8984,Mar-20,PARCHEGGIO STRISCE BLU,1,1,3.78
8984,May-20,PARCHEGGIO STRISCE BLU,1,1,0.02
8984,Jun-19,PARCHEGGIO STRISCE BLU,1,1,0.57
8984,Jun-20,PARCHEGGIO STRISCE BLU,1,2,1.18
8984,Sep-19,PARCHEGGIO STRISCE BLU,1,1,3.6
8984,Nov-19,PARCHEGGIO STRISCE BLU,1,2,3
25744,Jul-19,PARCHEGGI/TRAGHETTI,0,3,6.303482186
25744,Jan-20,PARCHEGGIO STRISCE BLU,1,9,10.37239912
25744,Feb-20,PARCHEGGIO STRISCE BLU,1,5,5.310332713
25744,Mar-20,PARCHEGGIO STRISCE BLU,1,7,3.994783099
25744,Apr-20,PARCHEGGIO STRISCE BLU,1,5,6.887349783
25744,May-20,PARCHEGGIO STRISCE BLU,1,2,4.566611106
25744,Sep-19,PARCHEGGIO STRISCE BLU,1,3,8.598117127
25744,Oct-19,PARCHEGGIO STRISCE BLU,1,8,7.554429007
25744,Nov-19,PARCHEGGIO STRISCE BLU,1,5,5.930781991
25744,Dec-19,PARCHEGGIO STRISCE BLU,1,5,3.175985943
30983,May-20,PARCHEGGI/TRAGHETTI,0,1,39
22969,Jan-20,PARCHEGGIO STRISCE BLU,1,2,9.97
22969,Jun-19,PARCHEGGIO STRISCE BLU,1,13,70.55
22969,Jul-19,PARCHEGGIO STRISCE BLU,1,19,76.61
22969,Aug-19,PARCHEGGIO STRISCE BLU,1,11,54.71
22969,Sep-19,PARCHEGGIO STRISCE BLU,1,14,85.52
22969,Oct-19,PARCHEGGIO STRISCE BLU,1,28,173.2
22969,Nov-19,PARCHEGGIO STRISCE BLU,1,4,16.78
8247,May-20,TRASPORTO PUBBLICO,1,4,372.5
9556,Apr-20,PARCHEGGIO STRISCE BLU,1,1,3.711474029
9556,May-20,PARCHEGGIO STRISCE BLU,1,1,5.598479187
9556,Sep-19,BOLLO AUTO,1,1,391.9756436
16044,May-20,PARCHEGGI/TRAGHETTI,0,1,5.900049117
30253,Feb-20,PARCHEGGI/TRAGHETTI,0,1,0
30253,Apr-20,PARCHEGGI/TRAGHETTI,0,1,0
30253,May-20,PARCHEGGI/TRAGHETTI,0,1,0
30253,Jul-19,PARCHEGGI/TRAGHETTI,0,1,2.9
30253,Dec-19,PARCHEGGI/TRAGHETTI,0,1,9
20688,Jan-20,FUEL CON APP,1,2,60.03
20688,Feb-20,FUEL CON APP,1,3,60.12
20688,Mar-20,FUEL CON APP,1,5,130.04
20688,Apr-20,FUEL CON APP,1,3,60.03
20688,May-20,FUEL CON APP,1,4,100.06
20688,Jun-19,FUEL CON APP,1,4,100.03
20688,Jun-20,FUEL CON APP,1,5,89.5
20688,Jul-19,FUEL CON APP,1,2,40
20688,Aug-19,FUEL CON APP,1,4,80.16
20688,Sep-19,FUEL CON APP,1,2,60
20688,Oct-19,FUEL CON APP,1,6,130.15
20688,Nov-19,FUEL CON APP,1,2,40.17
20688,Dec-19,FUEL CON APP,1,1,60
20688,Jul-19,MONOPATTINO SHARING,1,1,4.3
20688,Mar-20,MOBILITÀ CONDIVISA,1,5,10.1
20688,Apr-20,MOBILITÀ CONDIVISA,1,2,4.1
20688,Jun-20,MOBILITÀ CONDIVISA,1,3,7.65
20688,Aug-19,MOBILITÀ CONDIVISA,1,21,47.25
20688,Sep-19,MOBILITÀ CONDIVISA,1,4,9.1
25022,Jul-19,PARCHEGGI/TRAGHETTI,0,1,6.460147592
23823,Jul-19,PARCHEGGI/TRAGHETTI,0,3,7.030615885
23823,Feb-20,BOLLO AUTO,1,3,221.9410343
23823,Dec-19,TAXI,1,3,55.60721782
23823,Jan-20,TURBO RICARICA CARTA,1,3,277.3499593
23823,Feb-20,TURBO RICARICA CARTA,1,3,188.9503094
23823,Mar-20,TURBO RICARICA CARTA,1,3,279.7084679
23823,Apr-20,TURBO RICARICA CARTA,1,2,464.4718697
23823,May-20,TURBO RICARICA CARTA,1,3,328.179751
23823,Jun-19,TURBO RICARICA CARTA,1,3,166.0023749
23823,Jun-20,TURBO RICARICA CARTA,1,2,437.5115193
23823,Jul-19,TURBO RICARICA CARTA,1,1,188.9775312
23823,Aug-19,TURBO RICARICA CARTA,1,1,222.8237209
23823,Sep-19,TURBO RICARICA CARTA,1,1,286.59973
23823,Oct-19,TURBO RICARICA CARTA,1,1,250.9568094
23823,Nov-19,TURBO RICARICA CARTA,1,4,312.7592566
23823,Dec-19,TURBO RICARICA CARTA,1,4,336.024391
23823,Feb-20,IMP.BOLLO RENDICONTO ANNUALE,1,3,5.677266792
5134,Apr-20,ACCESSO AREA C MILANO,0,3,6.436581947
578,May-20,PARCHEGGI/TRAGHETTI,0,1,2.4
578,Jun-19,PARCHEGGIO STRISCE BLU,1,1,2
578,Jul-19,PARCHEGGIO STRISCE BLU,1,5,9.07
578,Aug-19,PARCHEGGIO STRISCE BLU,1,3,4.13
578,Sep-19,PARCHEGGIO STRISCE BLU,1,6,9.1
578,Oct-19,PARCHEGGIO STRISCE BLU,1,1,2
578,Feb-20,FUEL CON APP,1,1,30
578,Mar-20,FUEL CON APP,1,1,30
578,Aug-19,FUEL CON APP,1,3,108.56
18499,Jul-19,PARCHEGGIO STRISCE BLU,1,2,4.17
22541,Jun-19,PARCHEGGI/TRAGHETTI,0,3,5.332540256
14603,Jan-20,ASSICURAZIONE INFORTUNI,0,1,9.8
14603,Mar-20,ASSICURAZIONE INFORTUNI,0,2,19.6
14603,Apr-20,ASSICURAZIONE INFORTUNI,0,1,9.8
14603,May-20,ASSICURAZIONE INFORTUNI,0,1,9.8
14603,Nov-19,ASSICURAZIONE INFORTUNI,0,1,9.8
14603,Dec-19,ASSICURAZIONE INFORTUNI,0,1,9.8
30335,Jun-19,BOLLO AUTO,1,1,212.78
30335,Feb-20,IMP.BOLLO RENDICONTO ANNUALE,1,1,2
1628,Oct-19,PARCHEGGI/TRAGHETTI,0,1,2.5
30705,May-20,PARCHEGGI/TRAGHETTI,0,4,78.52243654
30705,Jul-19,PARCHEGGI/TRAGHETTI,0,1,7.593529026
30705,Aug-19,PARCHEGGI/TRAGHETTI,0,3,2.172276453
28807,Oct-19,PARCHEGGI/TRAGHETTI,0,1,6
19464,Jun-19,PARCHEGGI/TRAGHETTI,0,3,9.842454643
19464,Jan-20,PARCHEGGIO STRISCE BLU,1,1,3.549896392
19464,Mar-20,PARCHEGGIO STRISCE BLU,1,2,12.2674065
19464,May-20,PARCHEGGIO STRISCE BLU,1,2,1.218658227
19464,Jun-20,PARCHEGGIO STRISCE BLU,1,5,5.932955069
19464,Sep-19,PARCHEGGIO STRISCE BLU,1,3,5.094069569
19464,Oct-19,PARCHEGGIO STRISCE BLU,1,2,7.502884685
19464,Dec-19,PARCHEGGIO STRISCE BLU,1,4,6.773881495
31210,Mar-20,PARCHEGGI/TRAGHETTI,0,1,3.5
13007,Aug-19,PARCHEGGI/TRAGHETTI,0,1,0
25125,Oct-19,PARCHEGGI/TRAGHETTI,0,1,2
3294,Jan-20,PARCHEGGIO STRISCE BLU,1,1,5.13
3294,May-20,PARCHEGGIO STRISCE BLU,1,1,0.1
3294,Jan-20,TURBO RICARICA CARTA,1,1,10
3294,Oct-19,TURBO RICARICA CARTA,1,1,10
3294,Dec-19,TURBO RICARICA CARTA,1,1,10
32217,Jul-19,PARCHEGGI/TRAGHETTI,0,1,2
32217,Aug-19,PARCHEGGI/TRAGHETTI,0,1,4
6824,May-20,PARCHEGGI/TRAGHETTI,0,2,13.6
9216,Sep-19,PARCHEGGI/TRAGHETTI,0,1,10
22756,Sep-19,PARCHEGGI/TRAGHETTI,0,1,2.5
28341,Aug-19,PARCHEGGI/TRAGHETTI,0,2,20
28341,May-20,ACCESSO AREA C MILANO,0,3,15
5536,Feb-20,PARCHEGGI/TRAGHETTI,0,1,2.7
5536,Aug-19,PARCHEGGI/TRAGHETTI,0,1,9.8
33473,Sep-19,PARCHEGGIO STRISCE BLU,1,1,1.72
33473,Oct-19,PARCHEGGIO STRISCE BLU,1,2,3.1
33473,Nov-19,PARCHEGGIO STRISCE BLU,1,1,1
33473,Dec-19,PARCHEGGIO STRISCE BLU,1,2,1.77
22928,May-20,PARCHEGGI/TRAGHETTI,0,1,11.8
25263,Mar-20,PARCHEGGI/TRAGHETTI,0,1,31
25263,May-20,PARCHEGGI/TRAGHETTI,0,1,3
19866,Jul-19,PARCHEGGI/TRAGHETTI,0,1,2.5
15457,Apr-20,PARCHEGGI/TRAGHETTI,0,3,2.586219798
15457,Dec-19,PARCHEGGI/TRAGHETTI,0,1,7.598990623
24510,Aug-19,PARCHEGGI/TRAGHETTI,0,4,16.38283932
32058,Sep-19,PARCHEGGI/TRAGHETTI,0,2,6
30628,Sep-19,PARCHEGGI/TRAGHETTI,0,3,14.94483535
12213,Jan-20,PARCHEGGI/TRAGHETTI,0,1,7.5
12213,Feb-20,PARCHEGGI/TRAGHETTI,0,1,1
12213,Apr-20,PARCHEGGI/TRAGHETTI,0,1,2
12213,Jun-19,PARCHEGGI/TRAGHETTI,0,1,1
12213,Jul-19,PARCHEGGI/TRAGHETTI,0,1,2
12213,Sep-19,PARCHEGGI/TRAGHETTI,0,1,2
12213,Oct-19,PARCHEGGI/TRAGHETTI,0,2,3
12213,Dec-19,PARCHEGGI/TRAGHETTI,0,1,1
22968,Mar-20,ASSICURAZIONE INFORTUNI,0,1,31.33772062
22968,Apr-20,ASSICURAZIONE INFORTUNI,0,3,44.03770565
22968,May-20,ASSICURAZIONE INFORTUNI,0,1,49.61645362
22108,May-20,PARCHEGGI/TRAGHETTI,0,1,6.902570152
22108,Jan-20,FUEL CON APP,1,1,27.00986482
22108,Apr-20,FUEL CON APP,1,3,151.6497913
22108,May-20,FUEL CON APP,1,1,92.21496886
22108,Jun-19,FUEL CON APP,1,1,105.4503355
22108,Jun-20,FUEL CON APP,1,5,158.1587687
22108,Jul-19,FUEL CON APP,1,3,119.7034192
22108,Aug-19,FUEL CON APP,1,6,120.4975606
5511,Apr-20,ACCESSO AREA C MILANO,0,1,5
5511,Jan-20,FUEL CON APP,1,3,65.76
5511,Feb-20,FUEL CON APP,1,3,50.01
5511,Mar-20,FUEL CON APP,1,1,30.16
5511,Apr-20,FUEL CON APP,1,1,30.42
5511,May-20,FUEL CON APP,1,3,30.08
5511,Jun-19,FUEL CON APP,1,1,33.64
5511,Jun-20,FUEL CON APP,1,5,131.05
5511,Aug-19,FUEL CON APP,1,1,13.36
5511,Sep-19,FUEL CON APP,1,1,30
5511,Oct-19,FUEL CON APP,1,1,30.34
5511,Dec-19,FUEL CON APP,1,1,20
10228,Oct-19,PARCHEGGI/TRAGHETTI,0,1,9
30417,Feb-20,PARCHEGGI/TRAGHETTI,0,1,2
30417,Mar-20,PARCHEGGI/TRAGHETTI,0,1,1
30417,Oct-19,PARCHEGGI/TRAGHETTI,0,1,3
25325,Jun-19,PARCHEGGI/TRAGHETTI,0,1,5.4
32436,May-20,PARCHEGGI/TRAGHETTI,0,2,8
2932,May-20,PARCHEGGI/TRAGHETTI,0,1,1.5
380,Sep-19,PARCHEGGI/TRAGHETTI,0,1,0
4354,Apr-20,PARCHEGGIO STRISCE BLU,1,11,8.8
4354,May-20,PARCHEGGIO STRISCE BLU,1,10,8.04
4354,Jul-19,PARCHEGGIO STRISCE BLU,1,1,0.75
4354,Aug-19,PARCHEGGIO STRISCE BLU,1,2,1.64
4354,Oct-19,PARCHEGGIO STRISCE BLU,1,2,0.92
4354,Nov-19,PARCHEGGIO STRISCE BLU,1,5,7.06
4354,Dec-19,PARCHEGGIO STRISCE BLU,1,3,3.64
16995,May-20,PARCHEGGI/TRAGHETTI,0,2,15.53956051
16995,Aug-19,PARCHEGGI/TRAGHETTI,0,1,3.611544305
11722,Aug-19,PARCHEGGI/TRAGHETTI,0,3,7.3
11722,Dec-19,PARCHEGGI/TRAGHETTI,0,1,2.2
22591,Aug-19,PARCHEGGI/TRAGHETTI,0,3,3
22591,Jun-20,PARCHEGGIO STRISCE BLU,1,1,0.95
22591,Feb-20,TURBO RICARICA CARTA,1,2,50
22591,Mar-20,TURBO RICARICA CARTA,1,1,40
22591,Jun-19,TURBO RICARICA CARTA,1,1,20
22591,Jun-20,TURBO RICARICA CARTA,1,2,110
22591,Jul-19,TURBO RICARICA CARTA,1,1,100
22591,Aug-19,TURBO RICARICA CARTA,1,3,60
22591,Sep-19,TURBO RICARICA CARTA,1,1,20
22591,Oct-19,TURBO RICARICA CARTA,1,1,110
22591,Nov-19,TURBO RICARICA CARTA,1,4,140
22591,Dec-19,TURBO RICARICA CARTA,1,5,100
22591,Jun-19,MONOPATTINO SHARING,1,3,5.4
