Strategy,Date,Impressions,Completes,Clicks,Installs,eRPM
Vungle A,2014/06/01,6777407,5978434,345309,31119,3.327
Vungle A,2014/06/02,6004310,5331727,299732,24601,2.943
Vungle A,2014/06/03,5832627,5193549,291384,24220,3.025
Vungle A,2014/06/04,5875702,5227917,295099,23382,2.985
Vungle A,2014/06/05,6843405,6111378,339529,27725,3.076
Vungle A,2014/06/06,7790350,6981471,392987,31820,3.137
Vungle A,2014/06/07,8643430,7733750,444682,38119,3.322
Vungle A,2014/06/08,8929848,7993169,449680,38260,3.269
Vungle A,2014/06/09,8075571,7259148,392829,32825,3.153
Vungle A,2014/06/10,7726694,6941293,382769,31609,3.237
Vungle A,2014/06/11,7781497,6999630,389369,31683,3.199
Vungle A,2014/06/12,7770595,6984082,391254,30985,3.206
Vungle A,2014/06/13,7916282,7091841,407582,31679,3.246
Vungle A,2014/06/14,8724061,7782877,459952,36773,3.482
Vungle A,2014/06/15,9027910,8075018,465869,37701,3.467
Vungle A,2014/06/16,7957999,7149399,395612,31098,3.245
Vungle A,2014/06/17,8102155,7283722,404716,31359,3.315
Vungle A,2014/06/18,8043855,7229427,407014,32414,3.46
Vungle A,2014/06/19,8073992,7226473,403193,31665,3.583
Vungle A,2014/06/20,8085480,7224975,406766,30473,3.479
Vungle A,2014/06/21,8760745,7825166,454646,33178,3.475
Vungle A,2014/06/22,8884803,7937481,453647,33543,3.459
Vungle A,2014/06/23,8040402,7182500,401226,28864,3.337
Vungle A,2014/06/24,7882136,7013876,389975,30302,3.326
Vungle A,2014/06/25,7782617,6932529,385477,30369,3.367
Vungle A,2014/06/26,7734447,6887125,388935,30920,3.53
Vungle A,2014/06/27,7891063,7025318,409449,31689,3.672
Vungle A,2014/06/28,8460726,7487623,457487,34664,3.83
Vungle A,2014/06/29,8849803,7785905,478901,36467,3.777
Vungle A,2014/06/30,8189490,7233880,411884,32160,3.484
