transaction_id,transaction_amount,is_tor,is_withdrawal,blacklisted_ip_flag,user_behavior_score
1001,20.37,0,0,0,5.85
1002,13.76,0,0,0,1.2
1003,17.74,0,0,0,0.36
1004,186.86,0,1,0,2.6
1005,52.39,0,0,0,5.76
1006,35.48,0,0,0,6.67
1007,5.48,0,1,0,4.88
1008,33.59,0,0,0,4.76
1009,31.67,0,0,0,8.29
1010,53.2,0,0,0,3.6
1011,12.95,0,0,0,5.57
1012,10.19,0,0,0,2.98
1013,3.92,0,1,0,6.05
1014,25.98,0,1,0,8.36
1015,19.21,0,0,0,6.4
1016,8.48,0,0,0,9.55
1017,13.29,0,0,0,1.94
1018,8.1,0,0,0,2.94
1019,16.08,0,0,0,7.54
1020,24.04,0,0,0,2.18
1021,11.08,1,1,0,7.98
1022,3.79,0,0,0,0.53
1023,46.2,0,1,0,5.36
1024,7.56,0,0,0,2.43
1025,81.4,1,0,0,7.93
1026,12.65,0,0,0,7.39
1027,16.64,0,0,0,4.18
1028,47.08,0,0,0,0.56
1029,21.98,1,0,1,4.74
1030,10.42,0,0,0,9.11
1031,71.01,0,0,0,4.91
1032,24.22,1,0,0,8.18
1033,11.23,0,1,0,6.12
1034,8.25,1,1,0,9.95
1035,32.88,0,0,0,1.16
1036,26.77,0,1,1,2.05
1037,7.3,1,0,0,2.3
1038,92.66,0,0,0,9.7
1039,21.21,1,0,0,8.08
1040,33.06,0,0,0,4.05
1041,31.34,0,0,0,0.13
1042,13.48,0,0,0,1.19
1043,7.05,0,0,0,9.59
1044,45.98,0,1,0,5.75
1045,23.64,0,0,0,0.44
1046,119.34,0,1,0,5.37
1047,45.05,0,1,0,1.16
1048,10.03,0,0,0,2.62
1049,35.01,1,0,0,8.9
1050,14.2,0,1,0,5.06
1051,68.12,0,0,0,5.7
1052,14.57,0,1,0,1.91
1053,22.13,0,0,1,0.92
1054,6.78,0,0,0,5.79
1055,18.03,0,0,0,2.02
1056,4.54,0,0,0,0.76
1057,33.31,0,0,0,0.38
1058,46.4,0,0,0,1.95
1059,48.63,0,0,0,6.87
1060,193.7,0,0,0,0.14
1061,55.42,0,0,0,3.96
1062,162.24,0,0,0,4.44
1063,11.76,0,0,0,5.2
1064,17.91,0,0,0,5.93
1065,9.05,0,0,0,3.83
1066,16.06,0,0,0,8.22
1067,40.11,0,0,0,2.96
1068,149.93,0,0,0,5.01
1069,29.81,0,0,0,5.19
1070,36.08,0,1,0,3.22
1071,6.84,0,0,0,7.26
1072,5.48,0,1,0,8.11
1073,65.79,0,0,0,8.24
1074,20.19,1,0,0,5.07
1075,19.61,0,0,0,9.9
1076,17.49,1,0,0,6.01
1077,50.66,0,0,0,9.49
1078,18.31,0,0,0,6.97
1079,2.59,1,0,0,1.72
1080,47.37,0,0,0,4.47
1081,6.27,0,1,0,1.99
1082,91.51,0,0,0,1.36
1083,13.64,0,0,0,2.41
1084,17,1,0,0,0.58
1085,7.68,0,0,0,0.85
1086,15.05,0,0,0,9.8
1087,105.54,0,0,0,5.58
1088,98.65,0,1,0,8.09
1089,10.83,0,0,0,1.31
1090,4.91,0,0,0,5.01
1091,22.44,0,0,0,8.48
1092,27.33,0,1,0,4.81
1093,10.82,0,0,0,8.61
1094,6.91,0,0,0,7.41
1095,139.09,0,0,0,9.6
1096,10.74,0,0,0,7.82
1097,17.1,1,1,0,5.49
1098,55.21,0,1,0,0.8
1099,3.13,1,0,0,7.38
1100,15.35,0,0,0,4.45
